;id;text;crisis_label
0;1366453510326394885;"@Liliosor @Catmausam Viejitas... machistas?? Típico en los uribestias... antes de investigar con minucia van inventando y profiriendo calumnias. 

Al fin y al cabo impostoras 🤷🏻‍♀️

💅🏼 Jimmie es un diminutivo femenino franco 🇫🇷";0
1;1366826736432906248;@Bassergius Y para limpiar los de la consola? Necesito un destornillador de cartuchos.;0
2;1366409562207715332;@Xuxipc O una medalla del mérito militar.;0
3;1366427076841078787;@A3Noticias @Elena_Salamanca @MatiasPrats_TV y si para compensar error se hace un pequeño reportaje sobre cómo comunicar imágenes positivas de la edad? Tema de gran actualidad en nuestras longevas sociedades  #stopageism;0
4;1366349856030285827;"@antoalix Un 10k en bajada jode el día después. Corriendo vas más rápido que en llano con el mismo sufrimiento. 
Para mi un cross debe ser variado: subida, bajadas, hierba o tierra...y que una tormenta te lo cambie todo. 
La dureza la pone el circuito y el ritmo";0
5;1366013390796259329;"2-1 F.C.MARTINENC- At. Sant Just (@RolandGT10 )
Victoria sufrida al final pero lo importante son los 3 puntos conseguidos por nuestros rojillos con doblete del killer @RolandGT10, marcando de penalti cometido sobre @kilianvicente y el otro en contraataque. 
SOM @martinenc";0
6;1367189024956416006;@totesmoutv3 @JosepCuni DIUEN QUE NO SON CASA REIAL, PERÒ EL MINISTERI DE L'INTERIOR O SIGUI TOTS NOSALTRES ELS PAGA 33000€ EL LA SEGURETAT PER ANAR ALS EMIRATS ÀRABS A VACUNAR-SE;0
7;1366027377764147203;Destrucció especulació #antiracism #catalunya_alnatural @ Sant Antoni de Calonge https://t.co/yEXsIP0XYf;0
8;1367217154408538114;@Confradia_SEDR que trobes? puc dir q ojala un tret al clatell als del xat de militars? ho puc dir?;0
9;1366008921840844804;"14-F ▶️ L'@assemblea ha omplert el centre de Pl. Catalunya, intentant respectar les mesures de seguretat amb múltiples accessos i gel hidroalcohòlic.

🟥 Tot i que s'avisava constantment per megafonia, les primeres files no respectaven el 1,5 m de distància. #inforac1 @vialliure https://t.co/sAXSCqipBL";0
10;1366057112502210560;"🏑 #OKLliga Jornada 21
⏱   

Penal sobre @alex7rodry, abans però, temps mort!

2️⃣ @LleidaLlista
0️⃣@ReusDeportiu 

👕🏑 @joluvisport i @AzemadSport equipen el nostre club amb orgull 🔴⚫ 

📺 https://t.co/4bVxBhCsxA i @laxarxa

#LleidaReus #ForçaReus https://t.co/HqEy1VMSd6";0
11;1366459116705570817;@RingOfGold3 @CaboPinyaveral1 @pablom_m La parafilia nazi en alemania seguro que existe, pero como sociedad no esta bien visto. Recordad la imagen del policia bajando la mano a un aleman haciendo el saludo romano 3 años creo que la cayeeon al pollo. Aqui se hacen fotos juntos, a eso se refiere pablo.;0
12;1366059947746803713;Accident de trànsit a la B-124 a l'alçada de l'Ermita de Les Arenes a #Castellar del Vallès. La carretera està tallada en ambdós sentits de la marxa. @BombersCdV @bomberssab @mossos @semgencat i @plcastellar al lloc. @lactual @transit https://t.co/UnQqddgeLX;1
13;1367219672442150913;Víctimas de LAS RESIDENCIAS DE ANCIANOS ,MUERTOS POR NEGLIGENCIA DE PABLO IGLESIAS, EXSIGEN LA RESPONSABILIDAD DEL POLÍTICO RESPONSABLE DE LA MUERTE DE 47.O00  INOCENTES,NO ATENDIDOS;0
14;1366441535336837120;@pjuliagelabert @davidbonvehi @Pdemocratacat @rogertorrent @parlamentcat No poden, tenen un deute de collons, si segueixen així el faran més gran i gran, com en Duran i LLeida 😂😂😂;0
15;1366091762872254470;La desaparición de los gorriones es una alerta sobre la calidad de nuestras ciudades: en una década, han desaparecido alrededor de 30 millones. No podemos permitirlo, firma la petición de @SEO_BirdLife para protegerlos https://t.co/qjQu9UPGeg;0
16;1366432037268299776;@Tonicanto1 El gobierno MIENTE cuál bellacos. Su intención es meter a los muertos que no le cuadran debajo de la alfombra, pero son tantos que por algún sitio le tienen que salir un pie, una mano.... Y usted sñor FRANCO lo sabe;0
17;1366317801514954760;"TERRORIST JUNTA

#WhatsHappeningInMyanmar
#Mar1Coup";0
18;1366365160156332034;"@Liliosor @DavidDono05 @AlvaroUribeVel @ClaudiaLopez @PoliciaColombia @PoliciaBogota Exacto. Ella está hablando de Colombia 🇨🇴 donde “el crimen es cultura” :

“Hoy en día, los funcionarios colombianos suelen calificar de criminales a los paramilitares, un avance que Human Rights Watch reconoce.” 

Fuente @hrw 
LA “SEXTA DIVISIÓN”";0
19;1366328417159946243;"TERRORIST JUNTA

#WhatsHappeningInMyanmar
#Mar1Coup";0
20;1367221437354946563;911 esto es un llamado de emergencia babyy 🥵☎️🚑 https://t.co/XcJPAipQXz;0
21;1367046134703792130;@merpargoes @Rafjimbar Es la típica pregunta española. Interesante pregunta para el Steve Jobs de 1977, si se hizo autónomo antes de comenzar o si comenzó y la fuerza de las circunstancias lo convirtieron en autónomo y después en empresario? Tal vez si hubiera sido Español, $AAPL no existiría 😅;0
22;1366458322191323136;"Amb canvi de data o sempre, aquest judici de dimecres segueix sent un atac a tot un poble. Al vostre costat sempre, @sindics1octubre

#Síndics1Oabsolució!
#HoTornaremAFer! https://t.co/oKzv6mgPid";0
23;1366428415306436621;@ItsNoniil @tjstrangerking @GSalvatierra70 @ReaderESP @3porciento_3 @ElMotarrdo @GUBBarcelona @policia Ooixx otro faltando... en fin... que lastima de sociedad...;0
24;1367218701183971338;@La_SER @SERnavarra - Al muerto? A unas malas si no lo consigue, alguien debería echarle un cable;0
25;1366320497848315905;@hector_company Claaaaro que vaya a dialogar con los que saquean tiendas o con los que incendian furgones de la @GUBBarcelona por favor no tiréis cócteles molotov que son muy molestos.... 🤦‍♀️;0
26;1366100619627556873;ACTUALITZACIÓ📣: Modificacions de les mesures especials de contenció de la Covid-19 a Catalunya que entren en vigor a partir de demà dilluns 1 de març. Més info a 👉🏼 https://t.co/SEXaA4UPUn  #abrera #abrerainfo #coronavirus https://t.co/4HbPpGeP6d;0
27;1367190076082511874;@jose_ah67 @feliciano_lopez Mejor que estén vigilando el chalet que torturando hasta la muerte. Normalidad democrática lo llaman.;0
28;1366824900732846088;Los descubridores de armas de destrucción masiva: Una guerra con muchas secuelas ???;0
29;1366116671686066181;@albadelvi A mort amb tu!!! https://t.co/JxJihpiBlD;0
30;1366458758184976385;@KevanKenney @MTV REQUEST @dimash_official @MTV #FridayLivestream https://t.co/CYFJG5DDtJ;0
31;1367211202603069444;Dest having a stormer here...;0
32;1366459819406819339;Sesión #brainstorming con @chef__sousa de @lacandelaviladecans #talentaules2021 en @institutmestres  @viladecans.ig @laurabega8 @m_aguilard @cjcastilla #viladecans https://t.co/vMWfnrR7P3;0
33;1366460173192200193;@fansjavimiguel Nunca se declara en sede policial, pero tienen que estar asistidos por sus abogados ... ni que no declaren.;0
34;1365766562465087488;"Vuelven los disturbios por las calles de Barcelona tras el encarcelamiento del rapero Pablo Hasel. 

La juventud catalana está cansada de que siempre sean los mismos los que sufren las crisis en este país.
Ha habido 10 detenciones.

Pau de la Calle ©.
#LlibertatPabloHasel https://t.co/G91YKzGKu4";1
35;1366036532558254080;@ReinaSonia Hay que fastidiarse… Ahora dirán que hombre algo tienen que hacer y eso es lo que pueden hacer. No, pues claro que no. Deben hacer esto y además actuar para prevenir y mantener la seguridad. No atender a las víctimas cuando ya lo son, que también.;0
36;1367218905761144833;@roro1898 Ostres no!! L'Alba està gran. Però continua sent boníssim en la seva posició. Jo no veig a l'Ansu defensant igual. I en atac l'Alba amb en Messi connecten molt bé. Tinc ganes que torni, però per fer fora a en Griezmann definitivament!;0
37;1367166704720240648;En serio los #exmilitares y su Chat, no tienen delito de odio... hablar de matar 26 millones de Españoles, pues no es odio... o sea el Rapero si por ir contra la #monarquia;0
38;1367208350723813382;@Bissmafcb Lesionado 🤕;0
39;1366025164908072961;@SpinellJoe @m0uz0 Zorza y Raxo estan de muerte....;0
40;1367192886303948802;"#ReConstruir
#Reindustrializar #ReindustrializacionYa #SalvemosLaIndustria #ReindustrialitzacioJa #SalvemLaIndustria";0
41;1366461918077198345;@bcn_ajuntament Està molt bé.  Però podeu fer pagar també als qui destrossen de manera deliberada i reiterada la ciutat, tots els desperfectes que causen.  També ho agraïríem molt els i les barcelonins/nes que paguem impostos aqui;0
42;1366362424371273738;1/3/21 Catalunya has 699 new cases 37 deaths risk 254 RT 0.96 460666 1st 190509 2nd vaccine TGN province 37:2:47765:19717 TGN health 26:1:132:0.95:34985:15150 l'Ebre 11:1:65:0.7:12780:4567 Reus 1:0:168:1.08:7637:3554 TGN 4:0:95:1.18:8833:3881 still weekend figures and not good https://t.co/aKFT1AqRfo;1
43;1366412123455242246;Despite thousands of victims a year and worse conditions under COVID-19, the European Union still has no directive to end gender-based violence. This #InternationalWomensDay, demand action! ✊🏻💜 #NoMoreEmptyWords https://t.co/lxg1i30a66;0
